Open,High,Low,Close,Volume
1161.300049,1232.400024,1161.300049,1232.400024,2678264
1232.400024,1232.400024,1208.699951,1208.699951,712024
1232.400024,1232.400024,1208.699951,1208.699951,547467
1208.699951,1232.400024,1208.699951,1232.400024,1351263
1208.699951,1208.699951,1208.699951,1208.699951,207278
1208.699951,1232.400024,1208.699951,1232.400024,962551
1232.400024,1256.099976,1232.400024,1256.099976,1270567
1279.800049,1303.5,1279.800049,1303.5,2155059
1279.800049,1279.800049,1256.099976,1256.099976,580695
1279.800049,1279.800049,1256.099976,1256.099976,257911
1256.099976,1256.099976,1232.400024,1232.400024,135021
1256.099976,1256.099976,1256.099976,1256.099976,41667
1256.099976,1256.099976,1256.099976,1256.099976,126055
1256.099976,1256.099976,1232.400024,1232.400024,167721
1232.400024,1232.400024,1232.400024,1232.400024,5274
1256.099976,1256.099976,1232.400024,1232.400024,28481
1232.400024,1232.400024,1232.400024,1232.400024,11076
1232.400024,1232.400024,1232.400024,1232.400024,68565
1232.400024,1232.400024,1208.699951,1208.699951,88080
1232.400024,1232.400024,1208.699951,1208.699951,189873
1208.699951,1208.699951,1208.699951,1208.699951,1093879
1208.699951,1232.400024,1208.699951,1232.400024,36920
1208.699951,1232.400024,1208.699951,1208.699951,64873
1208.699951,1208.699951,1208.699951,1208.699951,196730
1232.400024,1279.800049,1232.400024,1256.099976,885547
1279.800049,1279.800049,1256.099976,1279.800049,828585
1279.800049,1279.800049,1256.099976,1279.800049,264240
1256.099976,1256.099976,1256.099976,1256.099976,4219
1256.099976,1256.099976,1256.099976,1256.099976,87553
1279.800049,1303.5,1279.800049,1303.5,2068033
1303.5,1398.300049,1303.5,1374.599976,5881316
1374.599976,1398.300049,1350.900024,1374.599976,1677212
1374.599976,1374.599976,1327.199951,1350.900024,218881
1350.900024,1398.300049,1327.199951,1398.300049,614978
1398.300049,1422,1374.599976,1422,2598096
1422,1469.400024,1422,1469.400024,3278474
1445.699951,1493.099976,1445.699951,1469.400024,2407695
1469.400024,1493.099976,1469.400024,1469.400024,533227
1469.400024,1540.5,1469.400024,1540.5,4472037
1540.5,1587.900024,1540.5,1540.5,1613393
1516.800049,1540.5,1516.800049,1516.800049,882382
1540.5,1540.5,1516.800049,1540.5,5074356
1540.5,1540.5,1540.5,1540.5,611813
1540.5,1564.199951,1540.5,1540.5,249472
1540.5,1564.199951,1516.800049,1564.199951,1194618
1540.5,1564.199951,1540.5,1540.5,2583855
1540.5,1540.5,1493.099976,1493.099976,963605
1493.099976,1516.800049,1469.400024,1516.800049,1660334
1493.099976,1516.800049,1493.099976,1516.800049,457805
